¹¤ºÅ	¹¤×Ê
202010102	4816
202010118	4612.7
202010115	4273.9
202010116	4634.1
202010127	4640.1
202010115	4245.5
202010114	4924.2
202010110	4669.8
202010123	4404.8
202010105	4160.2
202010101	4777.6
202010124	4421.7
202010110	4149.8
202010103	3953.1
202010105	4632.1
202010123	4912.3
202010124	4096.5
202010113	4621.6
202010115	4667.9
202010108	4427.2
202010125	4328.5
202010121	4515.2
202010126	4467.7
202010113	4807.6
202010104	4609.3
202010113	4971.4
202010128	4147.1
202010125	4228.2
202010107	4225.7
202010102	4604.7
202010125	4971.4
202010118	4633.8
202010109	4552.4
202010110	3890.7
202010107	4273.8
202010122	4203.6
202010126	4983.1
202010128	3935.7
202010108	4177.7
202010122	3994.5
202010124	4874.2
202010102	4041.7
202010103	4845.2
202010128	3857
202010129	4332.9
202010110	4459.9
202010113	4780.5
202010105	4626.9
202010104	4092.3
202010123	4157.7
202010104	4753
202010119	4656.6
202010101	4332
202010116	3958.4
202010122	4966.6
202010106	4789.7
202010108	4599.1
202010129	3854.1
202010128	4662
202010118	4942.4
202010128	4012.5
202010128	4206.6
202010118	4177.2
202010107	4094.4
202010114	3940.7
202010120	4023.6
202010107	3966
202010120	4073.5
202010105	4322
202010104	3811.3
202010126	4049.5
202010104	4991
202010127	4251.9
202010110	4829.4
202010115	4674.7
202010112	4295.4
202010120	4460.3
202010117	4522.4
202010101	4835.3
202010111	4160.2
202010123	3969.7
202010117	4302.3
202010102	4903.5
202010111	4190.7
202010118	4630.5
202010127	4940.9
202010100	3815.2
202010101	4337
202010126	4031.6
202010127	4392.9
202010122	4338
202010125	4799.2
202010103	3819
202010123	4784.2
202010123	3870.7
202010105	4679.4
202010117	4162.6
202010108	3986.7
202010116	4652
202010111	4118.2
202010101	4462.5
202010128	4341.3
202010106	4317.6
202010103	4914.8
202010102	4333.3
202010125	4829
202010127	4658.1
202010123	4480.9
202010128	4329
202010126	4723
202010126	4860
202010113	4520.9
202010112	3992.9
202010101	4785.6
