学号	性别	成绩
20200001	F	48
20200002	F	59
20200003	M	66
20200004	F	52
20200005	F	59
20200006	M	52
20200007	F	56
20200008	F	55
20200009	F	66
20200010	M	67
20200011	M	53
20200012	M	50
20200013	M	64
20200014	M	54
20200015	M	53
20200016	F	56
20200017	M	48
20200018	M	71
20200019	F	66
20200020	F	51
20200021	F	61
20200022	F	58
20200023	M	50
20200024	M	58
20200025	F	70
20200026	M	56
20200027	F	58
20200028	F	60
20200029	M	69
20200030	F	72
20200031	F	71
20200032	M	68
20200033	M	71
20200034	M	50
20200035	M	60
20200036	F	58
20200037	M	67
20200038	M	53
20200039	M	62
20200040	F	58
20200041	F	51
20200042	M	64
20200043	F	68
20200044	F	59
20200045	M	72
20200046	F	72
20200047	F	65
20200048	M	49
20200049	F	56
20200050	M	63
20200051	F	48
20200052	M	70
20200053	M	52
20200054	M	70
20200055	M	66
20200056	M	72
20200057	M	65
20200058	M	50
20200059	M	57
20200060	M	59
20200061	M	62
20200062	M	53
20200063	M	50
20200064	F	51
20200065	M	62
20200066	M	56
20200067	F	67
20200068	F	72
20200069	F	58
