Ñ§ºÅ	³É¼¨
20210301	57
20210302	54
20210303	72
20210304	68
20210305	93
20210306	80
20210307	92
20210308	65
20210309	86
20210310	57
20210311	72
20210312	68
20210313	63
20210314	91
20210315	59
20210316	51
20210317	81
20210318	82
20210319	90
20210320	85
20210321	73
20210322	54
20210323	82
20210324	53
20210325	88
20210326	79
20210327	62
20210328	72
20210329	61
20210330	93
20210331	63
20210332	74
20210333	59
20210334	68
20210335	78
20210336	88
20210337	94
20210338	61
20210339	78
20210340	60
20210341	87
20210342	87
20210343	53
20210344	83
20210345	60
20210346	84
20210347	92
20210348	70
20210349	86
20210350	60
20210351	91
20210352	58
20210353	88
20210354	58
20210355	57
20210356	65
20210357	64
20210358	66
20210359	82
20210360	92
20210361	87
20210362	75
20210363	93
20210364	67
20210365	66
20210366	57
20210367	59
20210368	89
20210369	95
20210370	72
20210371	55
20210372	86
20210373	77
20210374	78
20210375	81
20210376	77
20210377	60
20210378	80
20210379	56
20210380	89
20210381	55
20210382	81
20210383	55
20210384	78
20210385	89
20210386	66
20210387	92
20210388	76
20210389	67
20210390	94
20210391	75
20210392	77
20210393	88
20210394	70
20210395	58
20210396	78
20210397	71
20210398	83
20210399	87
20210400	75
20210401	83
20210402	70
20210403	61
20210404	77
20210405	86
20210406	81
20210407	53
20210408	80
20210409	88
20210410	81
20210411	94
20210412	85
20210413	68
20210414	73
20210415	88
20210416	59
20210417	84
20210418	90
20210419	51
20210420	59
20210421	71
20210422	65
20210423	95
20210424	76
20210425	55
20210426	92
20210427	54
20210428	76
20210429	77
20210430	81
20210431	65
20210432	61
20210433	72
20210434	64
20210435	57
20210436	94
20210437	93
20210438	63
20210439	55
20210440	58
20210441	72
20210442	62
20210443	87
20210444	55
20210445	64
20210446	68
20210447	60
20210448	80
20210449	63
20210450	79
20210451	64
20210452	93
